time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.49033522583e-07,-8.12594180225e-08,10.0032729908,6.28290407718,0.000387331008494,0.0,-3.74644084314e-05,-1.49631805911e-05,0.109094747295,-0.0162671323343,0.0169677966528,0.0,438.75207182719976,440.1582112275327,440.768905735467,439.42279624100223
0.12000000000000001,-1.45461410714e-05,-1.06063186689e-05,10.0128574999,6.28182092997,0.00129105515161,0.0,-0.000530945472422,-0.00044082283892,0.21037480196,-0.0218859212131,0.0109488899785,0.0,437.350758763455,436.8491516806888,437.78797041568225,437.3203392375024
0.18,-7.89332913392e-05,-7.35431335941e-05,10.0305286617,6.2801140581,0.00231338031442,0.0,-0.00171179591877,-0.00182055038876,0.378622102239,-0.0467000308588,0.0270559496446,0.0,457.21387514155515,458.49505171934766,459.3493793470643,457.3773943180868
0.23999999999999996,-0.000240110761628,-0.000262677988648,10.0579784511,6.27770019953,0.00385382299754,0.0,-0.00383567959416,-0.0047693710351,0.536307905546,-0.0297033448405,0.0227565828217,0.0,455.40151177139717,455.0576441846125,454.11459533209523,455.47485737092694
0.3,-0.000557270346515,-0.000671335323077,10.093549935,6.27563220955,0.00568343059539,0.0,-0.00690554540008,-0.00904990966566,0.649348279593,-0.0462803194239,0.0426628070036,0.0,440.69361014121677,442.3360073584097,441.85292175898985,440.48381498237706
0.36000000000000004,-0.00107918750158,-0.00135516263046,10.1323313621,6.27306493785,0.00816309663289,0.0,-0.0107093357984,-0.0139743139616,0.643365989432,-0.0365877517195,0.0385151060683,0.0,401.93843299498405,401.56351785281345,402.4627125176512,403.33766338058024
0.4200000000000001,-0.00189726762449,-0.00240600198026,10.1736372484,6.27211966051,0.0109556322843,0.0,-0.01681964184,-0.0211937272809,0.733438991457,0.00876670466395,0.0590710467424,0.0,433.08358061208685,434.8101463272145,432.55300347396656,436.3550151040661
0.48000000000000015,-0.0031443170646,-0.00390235832699,10.2204692229,6.27257749097,0.0144851792964,0.0,-0.0251056731586,-0.0286342562442,0.827558997998,0.00525531032109,0.0583309061695,0.0,435.81143198648084,435.7520670191323,435.6183762666443,435.3245799477341
0.5400000000000001,-0.00494749725365,-0.00582676206155,10.272014318,6.27269695858,0.0187155192918,0.0,-0.0353796821524,-0.0354901105766,0.89055750731,-0.00550208951062,0.0876712560346,0.0,424.78703457969107,427.2991014812329,425.91390211139526,424.99295842434685
0.6000000000000002,-0.00754893271776,-0.00820992812935,10.3320849889,6.27370745123,0.0235049097372,0.0,-0.0519440935123,-0.0438830117533,1.11159715242,0.0424038388096,0.0555317260822,0.0,475.8949531547152,473.4331713200312,472.7611157187169,476.4375720081984
0.6600000000000003,-0.0111867175174,-0.0110375509744,10.4027235921,6.27620875321,0.0267435383239,0.0,-0.0696628083836,-0.050100874401,1.24288229235,0.0402180123884,0.0506724640239,0.0,447.6794067393176,447.285795918859,448.6821446328482,448.50558408541076
0.7200000000000003,-0.015889518816,-0.0141687702231,10.4787825993,6.27842157872,0.0293503434301,0.0,-0.0873691632035,-0.0540532294793,1.29235624984,0.0291943051815,0.0222853726649,0.0,422.8553255117715,420.4041340213683,423.28113410345173,422.3321816881391
0.7800000000000004,-0.021730182278,-0.0175016092011,10.5588447115,6.28021633844,0.0314170855709,0.0,-0.107493710348,-0.056864363037,1.37627791092,0.0313117637337,0.0516008896017,0.0,433.09769897032135,435.55660570943235,432.6760531767255,432.85457482830213
0.8400000000000004,-0.0288146913673,-0.020965561768,10.6435828548,6.28205982689,0.034922290659,0.0,-0.128979649341,-0.0584184268555,1.44822693783,0.0295244948938,0.0694103228432,0.0,429.5243595911149,431.03436852677225,429.64985510837624,429.49866616905894
0.9000000000000005,-0.037382438646,-0.024489049751,10.7360225412,0.000874814947657,0.0386382577957,0.0,-0.15706331343,-0.0588140392198,1.63283215103,0.0400424778735,0.0395620180449,0.0,465.87823116113134,463.5411437528392,465.2087497091296,466.0319023908971
0.9600000000000005,-0.0477437959022,-0.0279861406873,10.8403059421,0.00351029041645,0.0409483399518,0.0,-0.188580737164,-0.0574571122446,1.84295276431,0.0507341401159,0.0362914717336,0.0,473.0762754651831,472.8250246482454,473.2079771363453,474.0311660678337
1.0200000000000005,-0.0599938128317,-0.0313413748053,10.9558133307,0.00604011425121,0.043155783063,0.0,-0.219987098484,-0.0540617085665,2.00700570897,0.0134363104434,0.0377707470469,0.0,460.43688391677097,460.5544638422843,461.4527793855965,458.5000308067474
1.0800000000000005,-0.0740960631606,-0.0344571252002,11.0792689757,0.00642972899078,0.0453589436346,0.0,-0.250309397717,-0.0497305860146,2.10798789667,-0.013389512582,0.0345294950093,0.0,441.22176106188596,440.9547302969791,442.74945981672965,440.53694209536917
1.1400000000000006,-0.0900912984929,-0.0373072055234,11.2093898176,0.00576014765429,0.047946635459,0.0,-0.283104928109,-0.0453505553385,2.22912986745,-0.00703642075188,0.0563527464651,0.0,446.9864477090912,448.76226652378665,448.0713423458681,448.58762848592494
1.2000000000000006,-0.108170997387,-0.0399006259063,11.3479379647,0.0054739650113,0.0516354898054,0.0,-0.319930821624,-0.0411375209846,2.38879698533,-0.000583112130635,0.0701473420017,0.0,459.5667904535646,460.6613719969062,460.5296198410011,461.03984197224736
